@relation house-votes-84.txt

@attribute Party {republican,democrat}
@attribute handicapped_infants {n,w,y}
@attribute water_project_cost_sharing {y,n,w}
@attribute adoption_of_the_budget_resolution {n,y,w}
@attribute physician_fee_freeze {y,w,n}
@attribute el_salvador_aid {y,w,n}
@attribute religious_groups_in_schools {y,n,w}
@attribute nti_satellite_test_ban {n,y,w}
@attribute aid_to_nicaraguan_contras {n,y,w}
@attribute mx_missile {n,y,w}
@attribute immigration {y,n,w}
@attribute synfuels_corporation_cutback {w,n,y}
@attribute education_spending {y,n,w}
@attribute superfund_right_to_sue {y,w,n}
@attribute crime {y,n,w}
@attribute duty_free_exports {n,y,w}
@attribute export_administration_act_sa {y,w,n}

@data
republican,n,y,n,y,y,y,n,n,n,y,w,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,w
democrat,w,y,y,w,y,y,n,n,n,n,y,n,y,y,n,n
democrat,n,y,y,n,w,y,n,n,n,n,y,n,y,n,n,y
democrat,y,y,y,n,y,y,n,n,n,n,y,w,y,y,y,y
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
democrat,n,y,n,y,y,y,n,n,n,n,n,n,w,y,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,w,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,w,w
republican,n,y,n,y,y,n,n,n,n,n,w,w,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,n,y,w,y,y,w,w
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,w,w
democrat,y,y,y,n,n,y,y,y,w,y,y,w,n,n,y,w
republican,n,y,n,y,y,y,n,n,n,n,n,y,w,w,n,w
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,w,n,w
democrat,y,n,y,n,n,y,n,y,w,y,y,y,w,n,n,y
democrat,y,w,y,n,n,n,y,y,y,n,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,w,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,w,y,y,n,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,w,w,y,y
democrat,y,w,y,n,n,n,y,y,y,n,n,w,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
